column	dataset	group
SCD_GSE101657_Control_SCD_0_Flux	GSE101657	SCD
SCD_GSE101657_Control_SCD_1_Flux	GSE101657	SCD
SCD_GSE101657_Control_SCD_2_Flux	GSE101657	SCD
SCD_GSE101657_Control_SCD_3_Flux	GSE101657	SCD
SCD_GSE101657_Control_SCD_4_Flux	GSE101657	SCD
SCD_GSE159090_GSM4819135_SCD_Male_Flux	GSE159090	SCD
SCD_GSE159090_GSM4819136_SCD_Male_Flux	GSE159090	SCD
SCD_GSE159090_GSM4819149_SCD_Male_Flux	GSE159090	SCD
SCD_GSE159090_GSM4819150_SCD_Male_Flux	GSE159090	SCD
SCD_GSE159090_GSM4819161_SCD_Male_Flux	GSE159090	SCD
SCD_GSE159090_GSM4819166_SCD_Male_Flux	GSE159090	SCD
SCD_GSE159090_GSM4819171_SCD_Male_Flux	GSE159090	SCD
SCD_GSE159090_GSM4819179_SCD_Male_Flux	GSE159090	SCD
SCD_GSE159090_GSM4819186_SCD_Male_Flux	GSE159090	SCD
SCD_GSE159090_GSM4819194_SCD_Male_Flux	GSE159090	SCD
SCD_GSE159090_GSM4819199_SCD_Male_Flux	GSE159090	SCD
SCD_GSE159090_GSM4819200_SCD_Male_Flux	GSE159090	SCD
SCD_GSE160646_GSM4876390_SCD_1w_Flux	GSE160646	SCD
SCD_GSE160646_GSM4876394_SCD_1w_Flux	GSE160646	SCD
SCD_GSE160646_GSM4876401_SCD_1w_Flux	GSE160646	SCD
SCD_GSE160646_GSM4876404_SCD_1w_Flux	GSE160646	SCD
SCD_GSE160646_GSM4876405_SCD_1w_Flux	GSE160646	SCD
SCD_GSE160646_GSM4876407_SCD_1w_Flux	GSE160646	SCD
SCD_GSE160646_GSM4876408_SCD_1w_Flux	GSE160646	SCD
SCD_GSE188344_NCD_1_Flux	GSE188344	SCD
SCD_GSE188344_NCD_2_Flux	GSE188344	SCD
SCD_GSE188344_NCD_3_Flux	GSE188344	SCD
SCD_GSE188344_NCD_4_Flux	GSE188344	SCD
SCD_GSE246221_Batch9_SCD_only32w_1_Flux	GSE246221	SCD
SCD_GSE246221_Batch9_SCD_only32w_2_Flux	GSE246221	SCD
SCD_GSE246221_Batch9_SCD_only32w_3_Flux	GSE246221	SCD
SCD_GSE246221_Batch9_SCD_only32w_4_Flux	GSE246221	SCD
SCD_GSE248297_LFD_1_Flux	GSE248297	SCD
SCD_GSE248297_LFD_2_Flux	GSE248297	SCD
SCD_GSE248297_LFD_3_Flux	GSE248297	SCD
SCD_GSE248297_LFD_4_Flux	GSE248297	SCD
SCD_GSE248297_LFD_5_Flux	GSE248297	SCD
HFD_GSE101657_HFD_0_Flux	GSE101657	HFD
HFD_GSE101657_HFD_1_Flux	GSE101657	HFD
HFD_GSE101657_HFD_2_Flux	GSE101657	HFD
HFD_GSE101657_HFD_3_Flux	GSE101657	HFD
HFD_GSE101657_HFD_4_Flux	GSE101657	HFD
HFD_GSE101657_HFD_5_Flux	GSE101657	HFD
HFD_GSE159090_GSM4819134_HFD_Male_Flux	GSE159090	HFD
HFD_GSE159090_GSM4819140_HFD_Male_Flux	GSE159090	HFD
HFD_GSE159090_GSM4819143_HFD_Male_Flux	GSE159090	HFD
HFD_GSE159090_GSM4819146_HFD_Male_Flux	GSE159090	HFD
HFD_GSE159090_GSM4819157_HFD_Male_Flux	GSE159090	HFD
HFD_GSE159090_GSM4819163_HFD_Male_Flux	GSE159090	HFD
HFD_GSE159090_GSM4819167_HFD_Male_Flux	GSE159090	HFD
HFD_GSE159090_GSM4819177_HFD_Male_Flux	GSE159090	HFD
HFD_GSE159090_GSM4819184_HFD_Male_Flux	GSE159090	HFD
HFD_GSE159090_GSM4819189_HFD_Male_Flux	GSE159090	HFD
HFD_GSE159090_GSM4819197_HFD_Male_Flux	GSE159090	HFD
HFD_GSE159090_GSM4819202_HFD_Male_Flux	GSE159090	HFD
HFD_GSE160646_GSM4876384_HFD_1w_Flux	GSE160646	HFD
HFD_GSE160646_GSM4876386_HFD_1w_Flux	GSE160646	HFD
HFD_GSE160646_GSM4876389_HFD_1w_Flux	GSE160646	HFD
HFD_GSE160646_GSM4876393_HFD_1w_Flux	GSE160646	HFD
HFD_GSE160646_GSM4876396_HFD_1w_Flux	GSE160646	HFD
HFD_GSE160646_GSM4876400_HFD_1w_Flux	GSE160646	HFD
HFD_GSE160646_GSM4876406_HFD_1w_Flux	GSE160646	HFD
HFD_GSE160646_GSM4876412_HFD_1w_Flux	GSE160646	HFD
HFD_GSE188344_HFD_1_Flux	GSE188344	HFD
HFD_GSE188344_HFD_2_Flux	GSE188344	HFD
HFD_GSE188344_HFD_3_Flux	GSE188344	HFD
HFD_GSE188344_HFD_4_Flux	GSE188344	HFD
HFD_GSE246221_Batch9_HFD_only32w_1_Flux	GSE246221	HFD
HFD_GSE246221_Batch9_HFD_only32w_2_Flux	GSE246221	HFD
HFD_GSE246221_Batch9_HFD_only32w_3_Flux	GSE246221	HFD
HFD_GSE248297_HFD_1_Flux	GSE248297	HFD
HFD_GSE248297_HFD_2_Flux	GSE248297	HFD
HFD_GSE248297_HFD_3_Flux	GSE248297	HFD
HFD_GSE248297_HFD_4_Flux	GSE248297	HFD
HFD_GSE248297_HFD_5_Flux	GSE248297	HFD
KD_GSE101657_KD_0_Flux	GSE101657	KD
KD_GSE101657_KD_1_Flux	GSE101657	KD
KD_GSE101657_KD_2_Flux	GSE101657	KD
KD_GSE101657_KD_3_Flux	GSE101657	KD
KD_GSE101657_KD_4_Flux	GSE101657	KD
KD_GSE101657_KD_5_Flux	GSE101657	KD
KD_GSE101657_KD_6_Flux	GSE101657	KD
KD_GSE248297_KD_1_Flux	GSE248297	KD
KD_GSE248297_KD_2_Flux	GSE248297	KD
KD_GSE248297_KD_3_Flux	GSE248297	KD
KD_GSE248297_KD_4_Flux	GSE248297	KD
KD_GSE248297_KD_5_Flux	GSE248297	KD
WD_GSE159090_GSM4819145_WD_Male_Flux	GSE159090	WD
WD_GSE159090_GSM4819155_WD_Male_Flux	GSE159090	WD
WD_GSE159090_GSM4819156_WD_Male_Flux	GSE159090	WD
WD_GSE159090_GSM4819158_WD_Male_Flux	GSE159090	WD
WD_GSE159090_GSM4819164_WD_Male_Flux	GSE159090	WD
WD_GSE159090_GSM4819173_WD_Male_Flux	GSE159090	WD
WD_GSE159090_GSM4819174_WD_Male_Flux	GSE159090	WD
WD_GSE159090_GSM4819181_WD_Male_Flux	GSE159090	WD
WD_GSE159090_GSM4819183_WD_Male_Flux	GSE159090	WD
WD_GSE159090_GSM4819192_WD_Male_Flux	GSE159090	WD
WD_GSE159090_GSM4819196_WD_Male_Flux	GSE159090	WD
WD_GSE159090_GSM4819201_WD_Male_Flux	GSE159090	WD
